[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, ¬v6], [z, v7], [z, ¬v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, ¬v6], [z, v7], [z, v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, ¬v7], [z, ¬v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, ¬v7], [z, v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, v7], [z, ¬v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, v7], [z, v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, ¬v7], [z, ¬v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, ¬v7], [z, v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v7], [z, ¬v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v7], [z, v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, ¬v7], [z, ¬v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, ¬v7], [z, v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v7], [z, ¬v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v7], [z, v8]]                                                                        Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v5], [z, ¬v7]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v5], [z, v7]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v5], [z, ¬v7]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v5], [z, v7]]                                                                        Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, ¬v7], [z, v5]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v7], [z, v5]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, ¬v7], [z, v5]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v7], [z, v5]]                                                                        Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v5', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, ¬v6], [z, v4], [z, ¬v7]]                                                                     Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, ¬v6], [z, v4], [z, v7]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, v4], [z, ¬v7]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, v4], [z, v7]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v4], [z, ¬v7]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v4], [z, v7]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v4], [z, ¬v7]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v4], [z, v7]]                                                                        Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v4], [z, v5]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v4], [z, v5]]                                                                        Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, ¬v6], [z, ¬v7], [z, v4]]                                                                     Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, ¬v6], [z, v7], [z, v4]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, ¬v7], [z, v4]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, ¬v5], [y, v6], [z, v7], [z, v4]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, ¬v7], [z, v4]]                                                                      Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v7], [z, v4]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, ¬v7], [z, v4]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v7], [z, v4]]                                                                        Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v6', 'v7'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, ¬v6], [z, v5], [z, v4]]                                                                       Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, ¬v3], [y, v4, v5], [y, v6], [z, v5], [z, v4]]                                                                        Branching on y has branching factor of τ(4,9) eliminating ['y', 'v4', 'v5', 'v6'] when set to 1 and ['x', 'y', 'z', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, ¬v6], [z, ¬v7], [z, ¬v8]]                                                                    Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, ¬v6], [z, ¬v7], [z, v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, ¬v6], [z, v7], [z, ¬v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, ¬v6], [z, v7], [z, v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, v6], [z, ¬v7], [z, ¬v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, v6], [z, ¬v7], [z, v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, v6], [z, v7], [z, ¬v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, ¬v5], [y, v6], [z, v7], [z, v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, v5], [y, ¬v6], [z, ¬v7], [z, ¬v8]]                                                                     Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, v5], [y, ¬v6], [z, ¬v7], [z, v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, v5], [y, ¬v6], [z, v7], [z, ¬v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, v5], [y, ¬v6], [z, v7], [z, v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, v5], [y, v6], [z, ¬v7], [z, ¬v8]]                                                                      Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
[[¬x, ¬y, ¬z], [x, v1, ¬v2], [x, v3], [y, ¬v4, v5], [y, v6], [z, ¬v7], [z, v8]]                                                                       Branching on x has branching factor of τ(4,9) eliminating ['x', 'v1', 'v2', 'v3'] when set to 1 and ['x', 'y', 'z', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8'] when set to 0
